,,Accuracy,MACC
AAPL,StockRNN,0.6271186440677966,0.24944804111068208
AAPL,StockLSTM,0.5932203389830508,0.25527318522118714
AAPL,StockSentimentRNN,0.5932203389830508,0.15714285714285714
ABB,StockRNN,0.559322033898305,0.14294833797837264
ABB,StockLSTM,0.5423728813559322,0.0
ABB,StockSentimentRNN,0.5423728813559322,0.07549407034786236
ABBV,StockRNN,0.559322033898305,0.148744923836035
ABBV,StockLSTM,0.5254237288135594,0.009536938157772432
ABBV,StockSentimentRNN,0.5254237288135594,0.009536938157772432
AEP,StockRNN,0.4745762711864407,-0.11114765480922502
AEP,StockLSTM,0.6101694915254238,0.12245134162498848
AEP,StockSentimentRNN,0.6271186440677966,0.17594117990448155
AGFS,StockRNN,0.5084745762711864,0.20417456493017655
AGFS,StockLSTM,0.4067796610169492,0.026812060503657788
AGFS,StockSentimentRNN,0.423728813559322,0.07731921410338582
AMGN,StockRNN,0.576271186440678,0.10470490509239823
AMGN,StockLSTM,0.6779661016949152,0.3380743385310481
AMGN,StockSentimentRNN,0.576271186440678,0.12447786622106641
AMZN,StockRNN,0.5423728813559322,0.14566789557918772
AMZN,StockLSTM,0.5423728813559322,0.0
AMZN,StockSentimentRNN,0.5423728813559322,0.0
BA,StockRNN,0.5084745762711864,0.02317536000347912
BA,StockLSTM,0.4576271186440678,-0.06880220170568244
BA,StockSentimentRNN,0.4915254237288136,0.12479126063921447
BABA,StockRNN,0.4576271186440678,-0.08486353247790378
BABA,StockLSTM,0.4406779661016949,-0.12668921319438334
BABA,StockSentimentRNN,0.4576271186440678,-0.08914849883204186
BAC,StockRNN,0.711864406779661,0.4003693618930959
BAC,StockLSTM,0.6440677966101694,0.275178662529513
BAC,StockSentimentRNN,0.7457627118644068,0.474733851955904
BBL,StockRNN,0.6949152542372882,0.28807199398369004
BBL,StockLSTM,0.3559322033898305,0.0
BBL,StockSentimentRNN,0.5423728813559322,0.012407559081808758
BCH,StockRNN,0.576271186440678,-0.10873205644391247
BCH,StockLSTM,0.576271186440678,-0.10873205644391247
BCH,StockSentimentRNN,0.576271186440678,0.07118102848890859
BHP,StockRNN,0.4067796610169492,0.0
BHP,StockLSTM,0.423728813559322,0.10873205644391247
BHP,StockSentimentRNN,0.4915254237288136,0.0872974877694162
BP,StockRNN,0.576271186440678,-0.009152128025645785
BP,StockLSTM,0.6440677966101694,0.1429159558095961
BP,StockSentimentRNN,0.5932203389830508,0.04575198481509529
BRK-A,StockRNN,0.423728813559322,-0.12447786622106641
BRK-A,StockLSTM,0.4915254237288136,0.0011709730320404808
BRK-A,StockSentimentRNN,0.4406779661016949,0.0
BSAC,StockRNN,0.4915254237288136,0.25197631533948484
BSAC,StockLSTM,0.4406779661016949,0.08606978946185856
BSAC,StockSentimentRNN,0.4406779661016949,0.08606978946185856
BUD,StockRNN,0.6101694915254238,0.2255966471250183
BUD,StockLSTM,0.5932203389830508,0.19307819491773812
BUD,StockSentimentRNN,0.5254237288135594,0.05703867240707723
C,StockRNN,0.5423728813559322,0.08305371808399224
C,StockLSTM,0.559322033898305,0.07497903454870315
C,StockSentimentRNN,0.5932203389830508,0.193012161744489
CAT,StockRNN,0.5084745762711864,-0.005081021385925562
CAT,StockLSTM,0.5084745762711864,-0.025600819239323697
CAT,StockSentimentRNN,0.5084745762711864,0.002403082536616032
CELG,StockRNN,0.5423728813559322,0.08914849883204186
CELG,StockLSTM,0.5423728813559322,0.092792778354146
CELG,StockSentimentRNN,0.5932203389830508,0.2257432863851379
CHL,StockRNN,0.4576271186440678,-0.06880220170568244
CHL,StockLSTM,0.4406779661016949,-0.19709672192729694
CHL,StockSentimentRNN,0.4576271186440678,-0.13816175285055887
CHTR,StockRNN,0.559322033898305,0.2186375006335683
CHTR,StockLSTM,0.4915254237288136,0.0
CHTR,StockSentimentRNN,0.4915254237288136,0.0
CMCSA,StockRNN,0.4745762711864407,-0.04959660602376137
CMCSA,StockLSTM,0.4067796610169492,-0.16685595311797866
CMCSA,StockSentimentRNN,0.5254237288135594,0.04398148148148148
