,,Accuracy,MACC
AAPL,BaseRNN,0.5932203389830508,0.193012161744489
AAPL,BaseLSTM,0.576271186440678,0.16512757650988816
ABB,BaseRNN,0.5932203389830508,0.2542172292655819
ABB,BaseLSTM,0.4915254237288136,0.06568673178067351
ABBV,BaseRNN,0.6101694915254238,0.25760824359569473
ABBV,BaseLSTM,0.5254237288135594,0.0
AEP,BaseRNN,0.4915254237288136,-0.06772299894721576
AEP,BaseLSTM,0.5932203389830508,0.0
AGFS,BaseRNN,0.3898305084745763,-0.1617636294710456
AGFS,BaseLSTM,0.423728813559322,-0.07419670929275898
AMGN,BaseRNN,0.4576271186440678,-0.10023310023310024
AMGN,BaseLSTM,0.5084745762711864,-0.07428641482506972
AMZN,BaseRNN,0.4576271186440678,0.0
AMZN,BaseLSTM,0.4576271186440678,-0.02293674510679918
BA,BaseRNN,0.5932203389830508,0.21915598910925188
BA,BaseLSTM,0.5254237288135594,0.21997067253202995
BABA,BaseRNN,0.423728813559322,-0.1770200694756016
BABA,BaseLSTM,0.423728813559322,-0.16286085096260253
BAC,BaseRNN,0.7288135593220338,0.43711085555523355
BAC,BaseLSTM,0.6779661016949152,0.3439897259695833
BBL,BaseRNN,0.3389830508474576,-0.16513452028030598
BBL,BaseLSTM,0.3559322033898305,0.0
BCH,BaseRNN,0.4406779661016949,0.02562250192783712
BCH,BaseLSTM,0.4406779661016949,0.006234796863885496
BHP,BaseRNN,0.5084745762711864,0.16126636011820653
BHP,BaseLSTM,0.5254237288135594,0.1665367458985786
BP,BaseRNN,0.576271186440678,0.01289970310958294
BP,BaseLSTM,0.576271186440678,0.01289970310958294
BRK-A,BaseRNN,0.423728813559322,-0.10470490509239823
BRK-A,BaseLSTM,0.423728813559322,-0.113709632735927
BSAC,BaseRNN,0.559322033898305,0.024743582965269673
BSAC,BaseLSTM,0.5423728813559322,0.12380952380952381
BUD,BaseRNN,0.576271186440678,0.1545568652833494
BUD,BaseLSTM,0.6101694915254238,0.22975227299534326
C,BaseRNN,0.6271186440677966,0.24944804111068208
C,BaseLSTM,0.4745762711864407,-0.029448062197509145
CAT,BaseRNN,0.4745762711864407,-0.07387280531772536
CAT,BaseLSTM,0.5084745762711864,-0.03380205052267014
CELG,BaseRNN,0.5932203389830508,0.21350620566569822
CELG,BaseLSTM,0.5254237288135594,0.04882813425200191
CHL,BaseRNN,0.5423728813559322,0.15793534087975877
CHL,BaseLSTM,0.4576271186440678,-0.13816175285055887
CHTR,BaseRNN,0.4915254237288136,0.0
CHTR,BaseLSTM,0.4915254237288136,0.0
CMCSA,BaseRNN,0.4745762711864407,-0.03850770231077027
CMCSA,BaseLSTM,0.5084745762711864,0.024305555555555556
CODI,BaseRNN,0.5423728813559322,-0.03905604762165116
CODI,BaseLSTM,0.5932203389830508,0.10854554378809259
CSCO,BaseRNN,0.5423728813559322,0.09154267201374253
CSCO,BaseLSTM,0.5932203389830508,0.19168642343465225
CVX,BaseRNN,0.5423728813559322,0.038329089686267526
CVX,BaseLSTM,0.559322033898305,0.0
D,BaseRNN,0.5423728813559322,0.11787413077635855
D,BaseLSTM,0.5084745762711864,0.006713829120923007
DHR,BaseRNN,0.4915254237288136,0.0
DHR,BaseLSTM,0.4915254237288136,0.0
DIS,BaseRNN,0.5932203389830508,0.14519049231613776
DIS,BaseLSTM,0.559322033898305,0.04020333593225574
DUK,BaseRNN,0.5254237288135594,-0.02413158105645844
DUK,BaseLSTM,0.4745762711864407,-0.2553605190881995
EXC,BaseRNN,0.5084745762711864,0.02664468329841851
EXC,BaseLSTM,0.4745762711864407,-0.05178369366513287
FB,BaseRNN,0.6779661016949152,0.3495956180724088
FB,BaseLSTM,0.5932203389830508,0.16802266772069924
GD,BaseRNN,0.4406779661016949,-0.07917147290394855
GD,BaseLSTM,0.4406779661016949,-0.09894548898363073
GE,BaseRNN,0.4406779661016949,0.0
GE,BaseLSTM,0.5423728813559322,0.07549407034786236
GOOG,BaseRNN,0.4745762711864407,0.0
GOOG,BaseLSTM,0.4745762711864407,0.0
HD,BaseRNN,0.4406779661016949,0.11259433727776125
HD,BaseLSTM,0.423728813559322,0.0
HON,BaseRNN,0.5254237288135594,0.04959660602376137
HON,BaseLSTM,0.4406779661016949,-0.12399569178736869
HRG,BaseRNN,0.5254237288135594,0.04519195200678428
HRG,BaseLSTM,0.5254237288135594,0.04838709677419355
HSBC,BaseRNN,0.5254237288135594,0.07387280531772536
